location,date,HighestInfectionCount,PercentPopulationInfected
Botswana,1/13/2021,16768,28420.338983050846
Bahrain,7/23/2020,37996,28355.223880597016
Bahrain,7/28/2020,39921,28312.765957446813
Bahrain,9/9/2020,57450,28300.49261083744
Bahrain,9/11/2020,58839,28287.98076923077
Bahrain,7/25/2020,38747,28282.481751824816
Bahrain,7/24/2020,38458,28277.941176470587
Bahrain,8/2/2020,41536,28255.78231292517
Bahrain,2/7/2021,107329,28244.473684210527
Bahrain,9/12/2020,59586,28239.810426540284
Bahrain,9/30/2020,70864,28232.669322709164
Bahrain,10/7/2020,73932,28218.32061068702
Bahrain,2/8/2021,108048,28210.966057441256
Botswana,10/25/2020,5923,28204.761904761905
Botswana,10/24/2020,5923,28204.761904761905
Botswana,10/23/2020,5923,28204.761904761905
Botswana,10/22/2020,5923,28204.761904761905
Bahrain,10/8/2020,74422,28190.151515151512
Bahrain,4/21/2020,1973,28185.714285714283
Bahrain,2/12/2021,111312,28180.25316455696
Bahrain,2/5/2021,106198,28169.23076923077
Bahrain,2/13/2021,112102,28166.331658291456
Bahrain,10/2/2020,71803,28158.039215686273
Bahrain,2/6/2021,106713,28156.464379947232
Eritrea,1/26/2021,1970,28142.857142857145
Bahrain,9/3/2020,53433,28122.63157894737
Bahrain,9/10/2020,58207,28119.323671497586
Bahrain,2/9/2021,108807,28115.503875968996
Bahrain,4/14/2021,159964,28113.181019332158
Bahrain,9/8/2020,56778,28107.92079207921
Bahrain,10/1/2020,71374,28100
Bahrain,2/11/2021,110416,28095.674300254457
Bahrain,4/11/2021,156462,28090.125673249553
Bahrain,4/12/2021,157729,28065.658362989325
Bahrain,2/17/2021,115057,28062.682926829268
Bahrain,4/13/2021,158789,28054.59363957597
Bahrain,4/9/2021,154280,28050.90909090909
Bahrain,4/10/2021,155402,28050.90252707581
Bahrain,10/6/2020,73476,28044.274809160306
Bahrain,9/7/2020,56076,28038
Bahrain,4/15/2021,160934,28037.282229965156
Bahrain,2/10/2021,109604,28031.713554987215
Bahrain,10/3/2020,72310,28027.131782945737
Bahrain,8/1/2020,41190,28020.408163265307
Bahrain,10/5/2020,73116,28013.79310344827
Bahrain,7/27/2020,39482,28001.418439716315
Bahrain,7/29/2020,40311,27993.75
Bahrain,2/4/2021,105496,27983.02387267905
Bahrain,2/15/2021,113590,27977.832512315268
Bahrain,2/14/2021,112742,27975.682382133993
Bahrain,7/26/2020,39131,27950.714285714286
Bahrain,2/18/2021,115705,27948.06763285024
Bahrain,10/4/2020,72662,27946.923076923078
Bahrain,9/5/2020,54771,27944.38775510204
Bahrain,4/8/2021,153074,27933.21167883212
Bahrain,7/30/2020,40755,27914.383561643837
Bahrain,2/20/2021,117234,27912.857142857145
Bahrain,8/4/2020,42132,27901.98675496689
Denmark,3/18/2020,1116,27900
Bahrain,4/16/2021,162089,27898.27882960413
Bahrain,2/16/2021,114361,27892.926829268294
Bahrain,8/3/2020,41835,27889.999999999996
Bahrain,7/31/2020,40982,27878.91156462585
Bahrain,2/3/2021,104792,27870.212765957443
Bahrain,2/19/2021,116482,27866.50717703349
Eritrea,1/25/2021,1950,27857.142857142855
Bahrain,2/21/2021,117809,27850.82742316785
Bahrain,9/6/2020,55415,27846.73366834171
Bahrain,4/3/2021,147770,27828.625235404896
Bahrain,3/19/2020,278,27800
Bahrain,4/1/2021,145380,27797.32313575526
Bahrain,9/2/2020,52807,27793.15789473684
Bahrain,4/2/2021,146454,27790.132827324476
Bahrain,4/7/2021,151931,27775.319926873857
Bahrain,3/30/2021,143574,27770.59961
Bahrain,4/4/2021,148817,27764.365671641794
Bahrain,9/4/2020,54095,27741.02564102564
Bahrain,4/17/2021,163113,27740.306122448983
Bahrain,3/31/2021,144445,27724.568138195777
Bahrain,4/27/2021,173548,27723.322683706072
Bahrain,2/2/2021,104239,27723.138297872338
Bahrain,4/23/2020,2217,27712.5
Bahrain,3/29/2021,142669,27702.718446601943
Botswana,7/5/2020,277,27700
Botswana,7/4/2020,277,27700
Botswana,7/3/2020,277,27700
Bahrain,4/5/2021,149791,27687.800369685767
Botswana,11/1/2020,6642,27675
Botswana,11/3/2020,6642,27675
Botswana,11/4/2020,6642,27675
Botswana,11/2/2020,6642,27675
Botswana,10/29/2020,6642,27675
Botswana,10/30/2020,6642,27675
Botswana,10/31/2020,6642,27675
Bahrain,4/6/2021,150811,27671.74311926606
Bahrain,3/28/2021,141845,27650.097465886938
Bahrain,4/28/2021,174659,27635.917721518985
Bahrain,2/22/2021,118530,27629.37062937063
Bahrain,4/18/2021,164110,27627.946127946125
Bahrain,10/9/2020,74860,27623.61623616236
Bahrain,4/26/2021,172576,27612.16
Bahrain,8/5/2020,42514,27606.493506493505
Bahrain,9/1/2020,52440,27600
Bahrain,1/30/2021,102626,27587.63440860215
Bahrain,10/10/2020,75287,27577.65567765568
Czechia,3/25/2020,1654,27566.666666666668
Bahrain,8/16/2020,46835,27550
Bahrain,2/1/2021,103582,27548.40425531915
Bahrain,4/21/2021,167165,27539.538714991762
Bahrain,2/23/2021,119205,27530.023094688222
Bahrain,4/19/2021,165118,27519.666666666664
Bahrain,4/29/2021,175752,27504.225352112677
Bahrain,10/11/2020,75614,27495.999999999996
Bahrain,8/6/2020,42889,27492.94871794872
Bahrain,1/31/2021,103057,27481.86666666667
Bahrain,4/24/2021,170335,27473.387096774197
Bahrain,4/20/2021,166157,27463.96694214876
Bahrain,4/25/2021,171370,27463.141025641027
Bahrain,3/27/2021,140818,27449.902534113062
